HYDROLAB MS5 65376
"Log File Name : site_name_for_hydrolab_file"
"Setup Date (YYYY-MM-DD) : 2017-02-22"
"Setup Time (HH:MM:SS) : 11:48:20"
"Starting Date (YYYY-MM-DD) : 2017-02-22"
"Starting Time (HH:MM:SS) : 12:00:00"
"Stopping Date (YYYY-MM-DD) : 2024-09-22"
"Stopping Time (HH:MM:SS) : 12:48:20"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","TDG","","TDG","","TDG","","IBatt","","EBatt","","IBatt","","EBatt","","Circ",""
"YYYY-MM-DD","HH:MM:SS","","°C","","mmHg","","psia","","mV","","Volts","","Volts","","%Left","","%Left","","Status",""

2017-02-24,03:45:00,"","6.86","","1431","","27.68","","23.24","","11.1","","0.0","","79","","0","","1",""
2017-02-24,04:00:00,"","6.86","","1431","","27.68","","23.25","","11.1","","0.0","","79","","0","","1",""
2017-02-24,04:15:00,"","6.86","","1432","","27.68","","23.25","","11.1","","0.0","","79","","0","","1",""
2017-02-24,04:30:00,"","6.86","","1432","","27.69","","23.25","","11.0","","0.0","","79","","0","","1",""
2017-02-24,04:45:00,"","6.86","","1432","","27.69","","23.26","","11.1","","0.0","","79","","0","","1",""
2017-02-24,05:00:00,"","6.86","","1432","","27.69","","23.26","","11.0","","0.0","","79","","0","","1",""
2017-02-24,05:15:00,"","6.86","","1432","","27.69","","23.26","","11.0","","0.0","","77","","0","","1",""
2017-02-24,05:30:00,"","6.86","","1432","","27.70","","23.26","","11.1","","0.0","","77","","0","","1",""
2017-02-24,05:45:00,"","6.86","","1432","","27.70","","23.26","","11.0","","0.0","","79","","0","","1",""
2017-02-24,06:00:00,"","6.86","","1433","","27.70","","23.27","","11.1","","0.0","","77","","0","","1",""
2017-02-24,06:15:00,"","6.86","","1433","","27.70","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,06:30:00,"","6.86","","1433","","27.70","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,06:45:00,"","6.86","","1433","","27.70","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,07:00:00,"","6.86","","1433","","27.71","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,07:15:00,"","6.86","","1433","","27.71","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,07:30:00,"","6.86","","1433","","27.71","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,07:45:00,"","6.86","","1433","","27.71","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,08:00:00,"","6.86","","1433","","27.71","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,08:15:00,"","6.86","","1433","","27.71","","23.28","","11.0","","0.0","","77","","0","","1",""
2017-02-24,08:30:00,"","6.86","","1433","","27.71","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,08:45:00,"","6.86","","1433","","27.71","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,09:00:00,"","6.86","","1433","","27.71","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,09:15:00,"","6.86","","1433","","27.71","","23.28","","11.0","","0.0","","77","","0","","1",""
2017-02-24,09:30:00,"","6.86","","1433","","27.71","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,09:45:00,"","6.86","","1433","","27.71","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,10:00:00,"","6.86","","1433","","27.71","","23.28","","11.0","","0.0","","77","","0","","1",""
2017-02-24,10:15:00,"","6.86","","1433","","27.71","","23.28","","11.0","","0.0","","77","","0","","1",""
2017-02-24,10:30:00,"","6.86","","1433","","27.72","","23.28","","11.0","","0.0","","77","","0","","1",""
2017-02-24,10:45:00,"","6.86","","1433","","27.71","","23.28","","11.0","","0.0","","77","","0","","1",""
2017-02-24,11:00:00,"","6.86","","1433","","27.71","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,11:15:00,"","6.86","","1433","","27.71","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,11:30:00,"","6.86","","1433","","27.71","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,11:45:00,"","6.86","","1433","","27.71","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,12:00:00,"","6.86","","1433","","27.71","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,12:15:00,"","6.86","","1433","","27.71","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,12:30:00,"","6.86","","1433","","27.70","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,12:45:00,"","6.86","","1433","","27.70","","23.27","","11.0","","0.0","","77","","0","","1",""
2017-02-24,13:00:00,"","6.86","","1432","","27.70","","23.26","","10.9","","0.0","","77","","0","","1",""
2017-02-24,13:15:00,"","6.86","","1432","","27.70","","23.26","","11.0","","0.0","","77","","0","","1",""
2017-02-24,13:30:00,"","6.86","","1432","","27.70","","23.26","","11.0","","0.0","","77","","0","","1",""
2017-02-24,13:45:00,"","6.86","","1432","","27.70","","23.26","","11.0","","0.0","","76","","0","","1",""
2017-02-24,14:00:00,"","6.86","","1432","","27.70","","23.26","","11.0","","0.0","","77","","0","","1",""
2017-02-24,14:15:00,"","6.86","","1432","","27.69","","23.26","","11.0","","0.0","","77","","0","","1",""
2017-02-24,14:30:00,"","6.86","","1432","","27.69","","23.26","","11.0","","0.0","","76","","0","","1",""
2017-02-24,14:45:00,"","6.86","","1432","","27.69","","23.25","","11.0","","0.0","","77","","0","","1",""
2017-02-24,15:00:00,"","6.86","","1432","","27.69","","23.25","","11.0","","0.0","","76","","0","","1",""
2017-02-24,15:15:00,"","6.86","","1432","","27.69","","23.25","","11.0","","0.0","","77","","0","","1",""
2017-02-24,15:30:00,"","6.86","","1432","","27.68","","23.25","","11.0","","0.0","","77","","0","","1",""
2017-02-24,15:45:00,"","6.86","","1431","","27.68","","23.25","","10.9","","0.0","","76","","0","","1",""
2017-02-24,16:00:00,"","6.86","","1431","","27.68","","23.25","","10.9","","0.0","","76","","0","","1",""
2017-02-24,16:15:00,"","6.86","","1431","","27.68","","23.25","","10.9","","0.0","","76","","0","","1",""
2017-02-24,16:30:00,"","6.86","","1431","","27.68","","23.24","","10.9","","0.0","","76","","0","","1",""
2017-02-24,16:45:00,"","6.86","","1431","","27.67","","23.24","","10.9","","0.0","","76","","0","","1",""
2017-02-24,17:00:00,"","6.86","","1431","","27.67","","23.24","","10.9","","0.0","","76","","0","","1",""
2017-02-24,17:15:00,"","6.86","","1431","","27.67","","23.24","","10.9","","0.0","","76","","0","","1",""
2017-02-24,17:30:00,"","6.86","","1431","","27.67","","23.24","","10.9","","0.0","","76","","0","","1",""
2017-02-24,17:45:00,"","6.86","","1431","","27.67","","23.24","","10.9","","0.0","","76","","0","","1",""
