Serial_number:
2022016
Project ID:
CGC_McCully
Location:
PO-05_20160729
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,LEVEL,TEMPERATURE
2016-07-29,15:57:33,13.1916,7.364
2016-07-29,15:57:34,13.1915,7.364
2016-07-29,15:57:35,13.1919,7.364
2016-07-29,15:57:36,13.1916,7.365
2016-07-29,15:57:37,13.1916,7.364
2016-07-29,15:57:38,13.1916,7.364
2016-07-29,15:57:39,13.1919,7.364
2016-07-29,15:57:40,13.1919,7.364
2016-07-29,15:57:41,13.1916,7.364
2016-07-29,15:57:42,13.1916,7.365
2016-07-29,15:57:43,13.1923,7.364
2016-07-29,15:57:44,13.1917,7.364
2016-07-29,15:57:45,13.1918,7.364
2016-07-29,15:57:46,12.1956,7.364
2016-07-29,15:57:47,12.1890,7.364
2016-07-29,15:57:48,12.1938,7.364
2016-07-29,15:57:49,12.1950,7.364
2016-07-29,15:57:50,12.1974,7.364
2016-07-29,15:57:51,12.1990,7.364
2016-07-29,15:57:52,12.2004,7.364
2016-07-29,15:57:53,12.2022,7.364
2016-07-29,15:57:54,12.2039,7.364
2016-07-29,15:57:55,12.2055,7.364
2016-07-29,15:57:56,12.2071,7.364
2016-07-29,15:57:57,12.2084,7.364
2016-07-29,15:57:58,12.2101,7.364
2016-07-29,15:57:59,12.2114,7.364
2016-07-29,15:58:00,12.2129,7.364
2016-07-29,15:58:01,12.2140,7.364
2016-07-29,15:58:02,12.2154,7.364
2016-07-29,15:58:03,12.2171,7.364
2016-07-29,15:58:04,12.2181,7.363
2016-07-29,15:58:05,12.2198,7.364
2016-07-29,15:58:06,12.2209,7.363
2016-07-29,15:58:07,12.2222,7.364
2016-07-29,15:58:08,12.2236,7.363
2016-07-29,15:58:09,12.2246,7.364
2016-07-29,15:58:10,12.2262,7.364
2016-07-29,15:58:11,12.2277,7.364
2016-07-29,15:58:12,12.2284,7.364
2016-07-29,15:58:14,12.2301,7.364
2016-07-29,15:58:15,12.2312,7.364
2016-07-29,15:58:16,12.2324,7.364
2016-07-29,15:58:17,12.2334,7.364
2016-07-29,15:58:18,12.2349,7.364
2016-07-29,15:58:19,12.2359,7.364
2016-07-29,15:58:20,12.2373,7.364
2016-07-29,15:58:21,12.2385,7.364
2016-07-29,15:58:22,12.2395,7.364
2016-07-29,15:58:23,12.2409,7.364
2016-07-29,15:58:24,12.2418,7.364
2016-07-29,15:58:25,12.2432,7.364
2016-07-29,15:58:26,12.2441,7.364
2016-07-29,15:58:27,12.2451,7.365
2016-07-29,15:58:28,12.2463,7.364
2016-07-29,15:58:29,12.2478,7.364
2016-07-29,15:58:30,12.2487,7.364
2016-07-29,15:58:31,12.2499,7.364
2016-07-29,15:58:32,12.2509,7.364
2016-07-29,15:58:33,12.2519,7.364
2016-07-29,15:58:34,12.2531,7.364
2016-07-29,15:58:35,12.2543,7.364
2016-07-29,15:58:36,12.2551,7.365
2016-07-29,15:58:37,12.2565,7.365
2016-07-29,15:58:38,12.2575,7.364
